名称,対象言語,用途,ライセンス,メモ
`aiohttp <https://docs.aiohttp.org/en/stable/>`_,Python,HTTP クライアント／サーバ,Apache 2.0,:ref:`development-python-aiohttp`
`Approval Tests for C++ <https://github.com/approvals/ApprovalTests.cpp>`_,C++,テスト,Apache 2.0,様々な言語のバージョンがあるうちの C++ 版。:ref:`development-cpp-approval-catch2-v3`
`axios <https://github.com/axios/axios>`_,"Javascript, TypeScript",HTTP クライアント,MIT,JSON を使用した HTTP 通信に便利なライブラリ。
`backward-cpp <https://github.com/bombela/backward-cpp>`_,C++,バックトレースの取得,MIT,未使用。
`bigfloat <https://bigfloat.readthedocs.io/en/latest/index.html>`_,Python,任意精度演算ライブラリ,LGPL 3.0,:ref:`development-python-bigfloat`
`Boost <https://www.boost.org/>`_,C++,C++ の補助的なライブラリ,Boost 1.0,別途ビルドして使用する必要がある。
`Catch2 <https://github.com/catchorg/Catch2>`_,C++11,ユニットテスト,Boost 1.0,アサートが書きやすい。ベンチマークもできる。
`CMake <https://cmake.org/>`_,"C, C++, ...",ビルドツール,BSD 3 clause,
`clang <http://clang.llvm.org/>`_,"C, C++, ...",コンパイラ,Apache 2.0 (with exception),
`clangd <https://clangd.llvm.org/>`_,C++,C++ のエディタ向けの言語サーバ,Apache 2.0 (with exception),:ref:`development-cpp-clangd`
`Conan <https://conan.io/>`_,"C, C++",パッケージマネージャ,MIT,:ref:`development-cpp-conan_cmake`
`cpp-taskflow <https://github.com/cpp-taskflow/cpp-taskflow>`_,C++,並行処理,MIT,未使用。
`CSpell <https://cspell.org/>`_,,ソースコード向けのスペルチェッカー,MIT,:ref:`development-cspell`
`Doxygen <http://www.doxygen.nl/>`_,"C, C++, ...",ドキュメンテーションの作成,GPL,
`Eigen <http://eigen.tuxfamily.org/>`_,C++98,行列演算,MPL2 (+ LGPL),
`flask <https://flask.palletsprojects.com/en/1.1.x/>`_,Python,Web サーバ用フレームワーク,BSD 3 clause,軽量な Web フレームワーク。
`fmt <https://github.com/fmtlib/fmt>`_,C++11,文字列のフォーマッティング,MIT (with exception),fmt/format.h ヘッダを読み込むとコンパイルが重い。
`FreeGLUT <https://github.com/dcnieho/FreeGLUT>`_,C++,OpenGL のラッパ,`独自 <https://github.com/dcnieho/FreeGLUT/blob/git_master/freeglut/freeglut/COPYING>`_,未使用。
`GCC <https://gcc.gnu.org/>`_,C++,コンパイラ,GPL / LGPL,
`Jinja <https://jinja.palletsprojects.com/en/2.11.x/>`_,Python,テンプレート処理,BSD 3 clause,
`lcov <https://github.com/linux-test-project/lcov>`_,C++,GCC のカバレッジの HTML 化,GPL,
`llvm-cov <https://llvm.org/docs/CommandGuide/llvm-cov.html>`_,C++,Clang のカバレッジの集計・出力,Apache 2.0 (with exception),
`marshmallow <https://marshmallow.readthedocs.io/en/stable/index.html>`_,Python,データのバリデーション、シリアライズ、デシリアライズ,MIT,未使用。良さそうと思ってメモ。
`matplotlib-cpp <https://github.com/lava/matplotlib-cpp>`_,C++,グラフ描画,MIT,未使用。
`msgpack-c <https://github.com/msgpack/msgpack-c/tree/cpp_master>`_,C++11,`MessagePack <https://msgpack.org/>`_ の読み書き,Boost 1.0,JSON よりも速い。
`nlohmann/json <https://github.com/nlohmann/json>`_,C++11,`JSON <https://www.json.org/json-ja.html>`_ の読み書き,MIT,リポジトリが重い。
`PICT <https://github.com/microsoft/pict>`_,,組み合わせテスト生成,MIT,制約つきの組み合わせテストを生成できる。
`pipenv <https://github.com/pypa/pipenv>`_,Python,Python の仮想環境の管理,MIT,慣れれば使いやすい。
`Plotly.py <https://plotly.com/>`_,Python,インタラクティブなグラフのプロット,MIT,HTML 形式でインタラクティブなグラフが描ける。:ref:`development-python-plotly`
`POCO C++ Libraries <https://pocoproject.org/>`_,C++,C++ の補助的なライブラリ,Boost 1.0,未使用。別途ビルドして使用する必要がある。
`Pybind11 <https://github.com/pybind/pybind11>`_,C++,C++ と Python における型や関数の相互変換,BSD,:ref:`Pybind11 関連のメモ <development-cpp-pybind11>`
`pyenv <https://github.com/pyenv/pyenv>`_,Python,Python のバージョンの管理,MIT,インストールは不便。
`simplejson <https://github.com/simplejson/simplejson>`_,Python,`JSON <https://www.json.org/json-ja.html>`_ の読み書き,MIT,Python 標準の json より速いらしい。
`sqlite_orm <https://github.com/fnc12/sqlite_orm>`_,C++14,SQLite の Object-Relational Mapping,BSD 3 clause,未使用。気になる。
`toml11 <https://github.com/ToruNiina/toml11>`_,C++11,`TOML <https://github.com/toml-lang/toml>`_ の読み書き,MIT,未使用。試したい。
`UIKit <https://getuikit.com/>`_,HTML,HTML の UI フレームワーク,MIT,
`vcpkg <https://vcpkg.io/>`_,"C, C++",パッケージマネージャ,MIT,:ref:`development-cpp-vcpkg`
`VTK <https://vtk.org/>`_,"C++, Python",3 次元のコンピュータグラフィックス,BSD 3 clause,別途ビルドして使用する必要がある。
`Vue.js <https://vuejs.org/>`_,"Javascript, TypeScript",フロントサイドのフレームワーク,MIT,
`yaml-cpp <https://github.com/jbeder/yaml-cpp>`_,C++11,`YAML <https://yaml.org/>`_ の読み書き,MIT,
